Commutator,Original variance,Blissed variance,Optimization method
3^ 2^ 0 1,4.514601874698873,3.8991373422758913,Nelder-Mead 100k Iter
6^ 3^ 7 0,2.8756738537625868,2.7367826745701733,Nelder-Mead 100k Iter
4^ 3^ 5 2,3.295887664836841,2.6465841588476735,Nelder-Mead 100k Iter
2^ 5^ 1 6,3.630419276333827,3.2410179133425716,Nelder-Mead 100k Iter
0^ 7^ 5 2,3.6782473099222557,3.9243035673354347,Nelder-Mead 100k Iter
1^ 6^ 0 7,2.7840964444848257,2.6249062423752867,Nelder-Mead 100k Iter
3^ 6^ 0 5,4.772356525790326,4.285025269198862,Nelder-Mead 100k Iter
2^ 1^ 3 4,4.663637752082508,4.319068659020567,Nelder-Mead 100k Iter
1^ 6^ 6 5,3.9812331465604784,3.966311807699625,Nelder-Mead 100k Iter
0^ 1^ 3 2,4.022406634453561,3.4665332122166035,Nelder-Mead 100k Iter
5^ 4^ 2 1,4.260289163817294,4.126428208705898,Nelder-Mead 100k Iter
3^ 2^ 0 1,2.745570044313448,2.694891277446637,Nelder-Mead 100k Iter
6^ 3^ 7 0,2.362783342314032,2.416905095062907,Nelder-Mead 100k Iter
4^ 3^ 5 2,1.877570911836829,1.9299279402967628,Nelder-Mead 100k Iter
2^ 5^ 1 6,2.538590100927574,2.4247425313718263,Nelder-Mead 100k Iter
0^ 7^ 5 2,3.462001904919916,3.237518622118677,Nelder-Mead 100k Iter
1^ 6^ 0 7,0.9666022655506751,0.9863026657425674,Nelder-Mead 100k Iter
3^ 6^ 0 5,3.0782142715778424,3.1467609302000463,Nelder-Mead 100k Iter
2^ 1^ 3 4,3.491004120773097,2.894545740476151,Nelder-Mead 100k Iter
1^ 6^ 6 5,3.2969544137558766,3.4713642785510888,Nelder-Mead 100k Iter
0^ 1^ 3 2,2.7671239594304797,2.6973355311182616,Nelder-Mead 100k Iter
5^ 4^ 2 1,4.192968021701478,3.4011064890643556,Nelder-Mead 100k Iter
3^ 2^ 0 1,9.921056300500656,9.921099480244626,Nelder-Mead 100k Iter
6^ 3^ 7 0,5.451232546173176,5.558427447417518,Nelder-Mead 100k Iter
4^ 3^ 5 2,6.0658571094830345,6.088713992304191,Nelder-Mead 100k Iter
2^ 5^ 1 6,8.398124393019204,8.506683748161473,Nelder-Mead 100k Iter
3^ 2^ 0 1,0.0,-2.2204460492503126e-16,Nelder-Mead 100k Iter
3^ 2^ 0 1,-6.162975822039155e-33,-1.1102230246251565e-16,Nelder-Mead 100k Iter
3^ 2^ 0 1,0.0,0.0,Nelder-Mead 100k Iter
3^ 2^ 0 1,0.0,0.234375,Nelder-Mead 100k Iter
3^ 2^ 0 1,-4.440892098500626e-16,-1.1102230246251568e-16,Nelder-Mead 100k Iter
3^ 2^ 0 1,2.220446049250314e-16,2.2204460492503123e-16,Nelder-Mead 100k Iter
3^ 2^ 0 1,0.0,0.0,Nelder-Mead 100k Iter
